"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"59","154.52041036742733","91.30861306411208","0.007080078125","0.01318359375","0.0009765625","1560","0.00035648386262678044","0.00035648386262678044","0","0.00035648386262678044","0.00035648386262678044","59_55:0.008587490190691771;59_75:0.007946665866154556","59_55:1;59_75:0.004965248435877728","59_55:84;59_75:84","true"
"60","162.51135210466177","24.5154526708099","0.006103515625","0.01123046875","0.0009765625","1560","0.00016752418928738373","0.00016752418928738373","0","0.00016752418928738373","0.00016752418928738373","60_61:0.0029742278042881876","60_61:0.0035307391545554845","60_61:84","true"
"61","199.71578698873455","57.12020821735997","0.01025390625","0.01513671875","0.00537109375","1560","0.0001676464528576972","0.0001676464528576972","0","0.0001676464528576972","0.0001676464528576972","61_76:0.0034753423519010007;61_60:0.0029742278042881876;61_62:0.003628541065049007","61_76:0.0028756442538978855;61_60:0.0035307391545554845;61_62:1","61_76:84;61_60:84;61_62:84","true"
"62","137.49046575997107","36.545860643389545","0.0087890625","0.0107421875","0.0068359375","1560","0.00038451915859806393","0.00038451915859806393","0","0.00038451915859806393","0.00038451915859806393","62_61:0.003628541065049007;62_63:0.007403130023721338","62_61:1;62_63:0.008559728544896006","62_61:84;62_63:84","true"
"63","85.86065807526839","11.512867575520309","0.00927734375","0.01220703125","0.00634765625","1560","0.00047855209591477784","0.00047855209591477784","0","0.00047855209591477784","0.00047855209591477784","63_56:0.005190474686200985;63_62:0.007403130023721338;63_64:0.05684099434814377","63_56:0.0061336245428119385;63_62:0.008559728544896006;63_64:0.06408282834072745","63_56:84;63_62:84;63_64:84","true"
"64","167.32879700423481","79.6546322153616","0.006103515625","0.01220703125","0","1560","0.00024305178173870227","0.00024305178173870227","0","0.00024305178173870227","0.00024305178173870227","64_65:0.003911476560099103;64_63:0.05684099434814377","64_65:0.0034875705834309934;64_63:0.06408282834072745","64_65:84;64_63:84","true"
"65","80.63313069565325","65.3476169018147","0.041748046875","0.04052734375","0.04296875","1560","0.0003226506464050924","0.0003226506464050924","0","0.0003226506464050924","0.0003226506464050924","65_64:0.003911476560099103;65_66:0.00391945111570513;65_77:0.004279608535881052","65_64:0.0034875705834309934;65_66:1;65_77:0.004242865611655988","65_64:84;65_66:84;65_77:84","true"
"66","120.37789461112513","16.68440645226965","0.006591796875","0.00927734375","0.00390625","1560","0.00041573073287979207","0.00041573073287979207","0","0.00041573073287979207","0.00041573073287979207","66_65:0.00391945111570513;66_67:0.004003451996355545","66_65:1;66_67:0.004118309393100261","66_65:84;66_67:84","true"
"67","160.0561763245146","68.82655042226153","0.06591796875","0.08251953125","0.04931640625","1560","0.0003964590841461023","0.0003964590841461023","0","0.0003964590841461023","0.0003964590841461023","67_68:0.007170698948186782;67_57:0.004979623207987449;67_66:0.004003451996355545","67_68:0.0039019079797554534;67_57:0.005049388731030557;67_66:0.004118309393100261","67_68:84;67_57:84;67_66:84","true"
"68","128.65816979332607","102.83792361638966","0.0078125","0.01123046875","0.00439453125","1560","0.00032816018783496907","0.00032816018783496907","0","0.00032816018783496907","0.00032816018783496907","68_67:0.007170698948186782;68_69:0.004243581573611488","68_67:0.0039019079797554534;68_69:1","68_67:84;68_69:84","true"
